social attitudes	conductas sociales
harm	agravio, daño	agravio está más enfocado a un ámbito legal
advocacy	defensa y promoción, incidencia, defensa, lucha
outcomes	resultados
arenas	ámbitos
accountability	responsabilidad, rendición de cuentas	puede matizarse 'social', 'pública'
outcomes	resultados, desenlaces
awareness	conciencia	despertar conciencia 
court	tribunal
at national, regional and global levels	a escala regional, nacional e internacional
treaty bodies	tratados, convenios
rapporteurs	relatoras, relatores
overarching	globales, de peso, centrales
To bring about	contribuir, provocar, facilitar
foundation	cimiento
far reaching	trascendental, de amplio alcance
eliciting	provocar, suscitar, obtener
put into place	establecer, poner en vigor, poner en práctica, poner en su lugar
in the aftermath 	a raíz de, fruto de, después
redress	reparación, compensación, resarcimiento, indemnización	redress
repackaged	reformulado, adaptado
grounding in	fundamentar en
shadow report	informe paralelo
having a paper trail	poner sobre papel
lobbying	cabildeo, persuasión política
simply	meramente, simplemente, sencillamente
range of	abanico, surtido, diversidad
timely way	de manera oportuna, a tiempo
underpin	sustentar
feasible	factible
Unlawful	ilícito
Drop In Centr	centro social
rallying	movilizadora, alentadora, 	rallying
rampant	generalizar, extender, avanza
dragnet	red de arrastre
dismay	consternación
groundbreaking	innovadores
chair	presidenta
government officials	autoridades del gobierno
government bodies	organismos del gobierno
appeals	solicitudes
nuance	matizar
outrage	indignación
in tandem	conjuntamente
persued	reinvindicar
background information	antecedentes
subsequently	posteriormente
hearings	audiencia
conduct	dirigir
foundational	cimientos, 	foundational
evictions	desalojos
Appeal Court	tribunal de apelaciones
Charter	estatutos
complaint	quejas, denuncias
binding	vinculante
assembly and association	reunión y asociación
briefings	informe
briefings	reunión informativa, exposición, informe
ongoing	en curso
mandate holders	titulares del mandato
remedies	remedios, soluciones, medios
engage	participar, comprometerse, emplear
building blocks	componente, pilar
challenges	retos, desafíos,
retaliation	represalia
bring about	contribuir, provocar
stamina	resistencia, fuerza, energía
trends	pautas, tendencias, orientaciones, dinámicas
issue	dictar, emitir
prominence	importancia, relevancia
malfeasance	mala conducta
raising	suscitar, alzar, levantar
passage of a resolution	aprobación de la resolución
enforcement	aplicación, ejecución, cumplimiento
eventual decisio	decisión final
unhindered	libre, sin obstáculos
rule of law	estado de derecho, principio de legalidad	 rule of law
not unexpectedly	como es de esperar
comprise	incluir, abarcar, comprender
subject to	expuestos a
claims	demandas, derechos, reclamaciones
albeit	aunque, no obstante
pivotal	fundamental, esencial, central
hindered	vinculantes
ramifications	consecuencias, implicaciones
concerns	intereses, inquietudes, prioridades
reluctant	reacio
crackdowns	represión
push forward	impulsar, avanzar
provisions	disposiciones
compliance	cumplimiento, acuerdo, sumisión
treaty body	órgano de tratados
abide	cumplir, atenerse
findings	hallazgos
alleged	supuestos
instituted	establecido, fundado, introducido
duly 	debidamente
state party	Estado Parte
trade unionists	sindicalistas
breadth	amplitud
commendable	locable
underpinned	respaldada
fact sheets	fichas
pledged	comprometerse
enabling environment 	entorno propicio
appointed	designado, nombrado
convene	convocar
stakeholders	partes interesadas, agentes, actores
allegation	denuncia
hard-hitting	directo, enérgica, aguda, contundente
cross-sector	transversal
